Community,Per capita income,Life expectancy rate,Percent households below poverty
Rogers Park,23939,77.3,23.6
West Ridge,23040,80.3,17.2
Uptown,35787,76,24
Lincoln Square,37524,80.5,10.9
North Center,57123,81.5,7.5
Lincoln Park,71551,81.3,12.3
Near North Side,88669,85.2,12.9
Edison Park,40959,81,3.3
Norwood Park,32875,80.9,5.4
Jefferson Park,27751,79.7,8.6
Forest Glen,44164,83.4,7.5
North Park,26576,84.4,13.2
Albany Park,21323,80.6,19.2
Portage Park,24336,80.3,11.6
Irving Park,27249,79.6,13.1
Dunning,26282,79.8,10.6
Belmont Cragin,15461,79.5,18.7
Hermosa,15089,80.5,20.5
Avondale,20039,79.8,15.3
Logan Square,31908,80.3,16.8
Humboldt park,13781,74.5,33.9
West Town,43198,79.5,14.7
Austin,15957,71.9,28.6
West Garfield Park,10934,68.8,41.7
East Garfield Park,12961,71.7,42.4
Near West Side,44689,78.9,20.6
North Lawndale,12034,72.1,43.1
South Lawndale,10402,82.2,30.7
Lower West Side,16444,81.4,25.8
Loop,65526,85,14.7
Near South Side,59077,80.6,13.8
Armour Square,16148,81.9,40.1
Oakland,19252,73.6,39.7
Fuller Park,10432,69.8,51.2
Grand Boulevard,23472,74.1,29.3
Kenwood,35911,80.5,21.7
Washington Park,13785,68.9,42.1
Hyde Park,39056,82.3,18.4
Woodlawn,18672,74.5,30.7
South Shore,19398,72.5,31.1
Chatham,18881,74,27.8
Avalon Park,24454,74.7,17.2
South Chicago,16579,72.7,29.8
Burnside,12515,71.9,33
Calumet Heights,28887,77.1,11.5
Roseland,17949,72.9,19.8
Pullman,20588,76.4,21.6
South Deering,14685,76.2,29.2
East Side,17104,78.4,19.2
West Pullman,16563,71.6,25.9
Riverdale,8201,76.4,56.5
Hegewisch,22677,77.1,17.1
Garfield Ridge,26353,79.8,8.8
Archer Heights,16134,79.5,14.1
Brighton Park,13089,80.8,23.6
McKinley Park,16954,80.4,18.7
Bridgeport,22694,80.2,18.9
New City,12765,74.4,29
West Elsdon,15754,81,15.6
Gage Park,12171,79.2,23.4
Clearing,25113,77.5,8.9
West Lawn,16907,80.5,14.9
Chicago Lawn,13231,75.2,27.9
West Englewood,11317,70.1,34.4
Englewood,11888,70.7,46.6
Greater Grand Crossing,17285,71.1,29.6
Ashburn,23482,78.2,10.4
Auburn Gresham,15528,72.6,27.6
Beverly,39523,80.5,5.1
Mount Greenwood,34381,79.6,3.4
Morgan Park,27149,75.3,13.2
O'Hare,25828,82.2,15.4
Edgewater,33385,79.8,18.2