Community,Life expectancy rate
Rogers Park,77.3
West Ridge,80.3
Uptown,76
Lincoln Square,80.5
North Center,81.5
Lincoln Park,81.3
Near North Side,85.2
Edison Park,81
Norwood Park,80.9
Jefferson Park,79.7
Forest Glen,83.4
North Park,84.4
Albany Park,80.6
Portage Park,80.3
Irving Park,79.6
Dunning,79.8
Belmont Cragin,79.5
Hermosa,80.5
Avondale,79.8
Logan Square,80.3
Humboldt park,74.5
West Town,79.5
Austin,71.9
West Garfield Park,68.8
East Garfield Park,71.7
Near West Side,78.9
North Lawndale,72.1
South Lawndale,82.2
Lower West Side,81.4
Loop,85
Near South Side,80.6
Armour Square,81.9
Oakland,73.6
Fuller Park,69.8
Grand Boulevard,74.1
Kenwood,80.5
Washington Park,68.9
Hyde Park,82.3
Woodlawn,74.5
South Shore,72.5
Chatham,74
Avalon Park,74.7
South Chicago,72.7
Burnside,71.9
Calumet Heights,77.1
Roseland,72.9
Pullman,76.4
South Deering,76.2
East Side,78.4
West Pullman,71.6
Riverdale,76.4
Hegewisch,77.1
Garfield Ridge,79.8
Archer Heights,79.5
Brighton Park,80.8
McKinley Park,80.4
Bridgeport,80.2
New City,74.4
West Elsdon,81
Gage Park,79.2
Clearing,77.5
West Lawn,80.5
Chicago Lawn,75.2
West Englewood,70.1
Englewood,70.7
Greater Grand Crossing,71.1
Ashburn,78.2
Auburn Gresham,72.6
Beverly,80.5
Mount Greenwood,79.6
Morgan Park,75.3
O'Hare,82.2
Edgewater,79.8